n_estimators,learning_rate,max_depth,min_child_samples,num_leaves,recall,precision,f1,accuracy
200,0.03,7,20,124,0.762541806020067,0.5367023664887505,0.6298041219971406,0.7617777777777778
200,0.09,5,5,31,0.7618729096989967,0.53543925483418,0.6287886918802891,0.7608888888888888
200,0.09,5,5,62,0.7551839464882943,0.5372611989047062,0.627751695109794,0.7619555555555555
200,0.09,5,5,124,0.7551839464882943,0.5372611989047062,0.627751695109794,0.7619555555555555
200,0.09,5,10,31,0.7618729096989967,0.53543925483418,0.6287886918802891,0.7608888888888888
200,0.09,5,10,62,0.7551839464882943,0.5372611989047062,0.627751695109794,0.7619555555555555
200,0.09,5,10,124,0.7551839464882943,0.5372611989047062,0.627751695109794,0.7619555555555555
200,0.09,5,20,31,0.7618729096989967,0.53543925483418,0.6287886918802891,0.7608888888888888
200,0.09,5,20,62,0.7551839464882943,0.5372611989047062,0.627751695109794,0.7619555555555555
200,0.09,5,20,124,0.7551839464882943,0.5372611989047062,0.627751695109794,0.7619555555555555
200,0.09,7,5,31,0.731772575250836,0.5421759300247943,0.6227975045528411,0.7644444444444445
200,0.09,7,5,62,0.7023411371237458,0.5401259790115425,0.6106117800178128,0.7619555555555555
200,0.09,7,5,124,0.7063545150501673,0.5379346075770381,0.6106294542630235,0.7605333333333333
200,0.09,7,10,31,0.731772575250836,0.5421759300247943,0.6227975045528411,0.7644444444444445
200,0.09,7,10,62,0.7023411371237458,0.5401259790115425,0.6106117800178128,0.7619555555555555
200,0.09,7,10,124,0.7063545150501673,0.5379346075770381,0.6106294542630235,0.7605333333333333
200,0.09,7,20,31,0.731772575250836,0.5421759300247943,0.6227975045528411,0.7644444444444445
200,0.09,7,20,62,0.7023411371237458,0.5401259790115425,0.6106117800178128,0.7619555555555555
200,0.09,7,20,124,0.7063545150501673,0.5379346075770381,0.6106294542630235,0.7605333333333333
